,h,s,v,num
293970,21,144,85,72
293971,22,132,91,72
293972,21,147,118,72
293973,20,147,111,72
294093,26,137,91,72
294098,32,128,78,72
294224,22,141,145,72
294225,22,145,141,72
294226,22,142,140,72
294227,22,136,143,72
294228,22,148,129,72
294229,22,148,134,72
294281,26,156,90,72
294282,29,140,73,72
294457,21,150,148,72
294458,21,179,140,72
294459,19,158,137,72
294460,21,171,140,72
294461,21,162,134,72
294462,18,164,143,72
294463,20,153,145,72
294464,18,154,146,72
294465,20,165,142,72
294466,20,185,146,72
294467,19,129,146,72
294655,19,136,142,72
294656,18,160,142,72
294657,19,152,146,72
294658,18,162,143,72
294712,21,169,137,72
294777,18,152,148,72
294929,21,159,130,72
294930,20,146,122,72
294951,17,185,149,72
294952,19,164,146,72
294953,18,191,143,72
294954,17,183,146,72
294955,16,197,140,72
294956,17,193,148,72
294957,17,202,144,72
294958,14,166,134,72
294959,18,168,146,72
294981,12,201,136,72
294982,10,221,126,72
294983,14,171,133,72
295354,19,168,135,71
295355,19,174,126,71
295356,18,150,138,71
295357,16,154,136,71
295358,16,173,133,71
295359,16,166,126,71
295360,21,152,119,71
295361,20,147,120,71
295362,17,174,135,71
295363,17,160,137,71
295364,21,153,113,71
295365,23,131,113,71
295366,21,137,91,71
295367,21,136,90,71
295368,22,129,93,71
295369,22,150,92,71
295602,21,160,150,71
295603,21,182,140,71
295604,20,156,142,71
295605,24,142,135,71
295606,21,134,133,71
295655,24,168,85,71
295791,21,169,146,71
295792,20,175,149,71
295793,20,187,143,71
295794,19,180,129,71
295795,18,127,130,71
295796,18,172,147,71
295797,18,153,143,71
295798,20,155,148,71
295799,17,192,133,71
295800,20,135,136,71
295801,20,140,140,71
295802,18,186,125,71
295803,22,157,146,71
295804,21,130,133,71
295915,20,134,137,71
295916,18,143,144,71
295917,18,156,137,71
295918,18,160,134,71
295919,18,179,134,71
295920,17,175,141,71
295921,16,175,137,71
295922,16,179,137,71
295994,18,131,150,71
296099,17,199,150,71
296100,17,182,147,71
296101,16,193,136,71
